SKU,Product Name,Base Color,Cap/Roller Component,Source GIF (Before),Enhanced Result (After),Variations,Updated At
GBCylBlu9SpryBlk,"9ml Cylinder Cobalt Blue Spray",cobalt,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryBlk.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylBlu9SpryBlk.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylBlu9SpryBlk-amber.png | clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylBlu9SpryBlk-clear.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylBlu9SpryBlk-frosted.png",2026-01-02T03:02:29.602983+00:00
GBCylFrst9SpryBlk,"9ml Cylinder Frosted Spray",frosted,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBCylFrst9SpryBlk.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylFrst9SpryBlk.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylFrst9SpryBlk-amber.png | clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylFrst9SpryBlk-clear.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylFrst9SpryBlk-cobalt.png",2026-01-02T03:01:23.476497+00:00
GBCylAmb9SpryBlk,"9ml Cylinder Amber Spray",amber,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryBlk.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9SpryBlk.png,"clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylAmb9SpryBlk-clear.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylAmb9SpryBlk-cobalt.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCylAmb9SpryBlk-frosted.png",2026-01-02T03:00:13.763603+00:00
GBCyl9MtlRollBlkDot,"9ml Cylinder Roll-On Clear Glass with Metal Ball",clear,"metal roll",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCyl9MtlRollBlkDot.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCyl9MtlRollBlkDot-amber.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBCyl9MtlRollBlkDot-frosted.png",2026-01-02T02:59:02.889109+00:00
GBCylBlu9MtlRollMattSl,"Cobalt Blue Glass with Metal Roller Ball and Silver Matte",cobalt blue,"metal roll with silver matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylBlu9MtlRollMattSl.png,"",2026-01-02T02:58:08.719755+00:00
GBCylBlu9RollShnGl,"Cobalt Blue Glass with Plastic Roller Ball and Gold Shiny",cobalt blue,"plastic roll with gold shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylBlu9RollShnGl.png,"",2026-01-02T02:57:57.647703+00:00
GBCylAmb9RollShnSl,"Amber Glass with Plastic Roller Ball and Silver Shiny",amber,"plastic roll with silver shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9RollShnSl.png,"",2026-01-02T02:57:50.956508+00:00
GBCylAmb9RollShnGl,"Amber Glass with Plastic Roller Ball and Gold Shiny",amber,"plastic roll with gold shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9RollShnGl.png,"",2026-01-02T02:57:31.788426+00:00
GBCylAmb9RollMattGl,"Amber Glass with Plastic Roller Ball and Gold Matte",amber,"plastic roll with gold matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9RollMattGl.png,"",2026-01-02T02:56:16.420685+00:00
GBCylBlu9MtlRollShnSl,"Cobalt Blue Glass with Metal Roller Ball and Silver Shiny",cobalt blue,"metal roll with silver shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylBlu9MtlRollShnSl.png,"",2026-01-02T02:55:48.70629+00:00
