Original_SKU,Cleaned_SKU,Is_SKU_Modified,Match_Found_In_Scrape,ODS_Inventory_ID,ODS_Price,Scrape_Price,ODS_Capacity_OZ,ODS_Capacity_ML,Scrape_Capacity,ODS_Description,Scrape_Description,Price_Diff,Price_Match
GBBstnBlu2ozRollonMattGl,GBBstnBlu2ozRollonMattGl,False,False,3202.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy oils.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnBlu2ozWhtDropper,GBBstnBlu2ozWhtDropper,False,False,3203.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozBlkDropperShnSlTrim,GBBstnBlu2ozBlkDropperShnSlTrim,False,False,3201.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozWhtDropperShnGlTrim,GBBstnBlu2ozWhtDropperShnGlTrim,False,False,3204.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozWhtDropperShnSlTrim,GBBstnBlu2ozWhtDropperShnSlTrim,False,False,3205.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozBlkDropperShnGlTrim,GBBstnBlu2ozBlkDropperShnGlTrim,False,False,3200.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstnBlu2ozBlkDropper,GBBstnBlu2ozBlkDropper,False,True,3201.0,,$0.71,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithblack dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each","Boston round design 2 ounce cobalt blue glass bottle with black dropper, price each",,False
GBBstnBlu2ozBlkCapSht,GBBstnBlu2ozBlkCapSht,False,True,3198.0,,$0.48,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithshort black cap00.For use with Perfume oils, essential oils, diffuser oils and aromatherapy.Price each","Boston round design 60ml, 2oz Cobalt blue glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",,False
GBBstn2ozMtlRollonMattSl,GBBstn2ozMtlRollonMattSl,False,False,3365.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstn02ozMtlRollonShnSl,GBBstn2ozMtlRollonShnSl,True,False,3366.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstn02ozMtlRollonMattBlk,GBBstn2ozMtlRollonMattBlk,True,False,3363.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstn02ozMtlRollonGl,GBBstn2ozMtlRollonGl,True,False,3362.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstn02ozMtlRollonMattGl,GBBstn2ozMtlRollonMattGl,True,False,3364.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstn02ozRollonMattSl,GBBstn2ozRollonMattSl,True,False,3369.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstn02ozRollonShnSl,GBBstn2ozRollonShnSl,True,False,3370.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstn02ozRollonMattBlk,GBBstn2ozRollonMattBlk,True,False,3368.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstn02ozRollonGl,GBBstn2ozRollonGl,True,False,3367.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstn02ozRollonMattGl,GBBstn2ozRollonMattGl,True,False,1951.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstn02ozWhtDropper,GBBstn2ozWhtDropper,True,False,297.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstn02ozBlkDropperShnSlTrim,GBBstn2ozBlkDropperShnSlTrim,True,False,3170.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstn02ozWhtDropperShnGlTrim,GBBstn2ozWhtDropperShnGlTrim,True,False,3173.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstn02ozWhtDropperShnSlTrim,GBBstn2ozWhtDropperShnSlTrim,True,False,3174.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
