SKU_Name,Description
GBBstn1ozMtlRollonMattBlk,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonGl,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonMattGl,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozRollMattSl,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollShnSl,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollMattBlk,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollGl,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollMattGl,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozWhtDrp,"Boston rounddesign30ml,1oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozBlkDrpShnSlTrim,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozWhtDrpShnGlTrim,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozWhtDrpShnSlTrim,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozBlkDrpShnGlTrim,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlBlkDropperSlTrim,"Boston rounddesign15ml,1/2 oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropperSlTrim,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropperGlTrim,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropper,"Boston rounddesign15ml,1/2 oz Amber glass bottlewitha white dropper0.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
