SKU_Name,Family_Name,Bottle_Shape,Capacity_OZ,Description
GBBstnBlu1ozWhtDropperShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozBlkDropperShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozMtlRollonMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozRollMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
