SKU_Name,SKU,Price_Tier1,Description,Status
GBBstn2ozMtlRollonMattSl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn2ozMtlRollonShnSl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn2ozMtlRollonMattBlk,,,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn2ozMtlRollonGl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn2ozMtlRollonMattGl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn2ozRollonMattSl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn2ozRollonShnSl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn2ozRollonMattBlk,,,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn2ozRollonGl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn2ozRollonMattGl,,,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
