SKU,ProductName,Category,Material,Color,Capacity,Shape,Cap_Color,Cap_Type,Applicator,Full_Description,Target_URL,Training_Context,Source_File
2073,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2073.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2074,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2074.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2075,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2075.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2076,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2076.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2077,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2077.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2078,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2078.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2079,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2079.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3493,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3493.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2080,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2080.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3494,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3494.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2081,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2081.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3495,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3495.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2082,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2082.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2083,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2083.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3496,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3496.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2084,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2084.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2085,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2085.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2086,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2086.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2087,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2087.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2088,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2088.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2089,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2089.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2090,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2090.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2091,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2091.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2092,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2092.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2093,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2093.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2094,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2094.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2095,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2095.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2096,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2096.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2097,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2097.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2098,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2098.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2099,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2099.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2100,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2100.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2101,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2101.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2102,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2102.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2103,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2103.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2104,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2104.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2105,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2105.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2106,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2106.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2107,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2107.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2108,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2108.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
