sku,description,image_url,included_component,item_type,capacity,height_total,height_bottle_only,width,depth,neck_finish,price_1pc,price_12pc,price_144pc,price_bulk,url
GBCrclFrst100AnSpBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/caps/18-415SpAnSpBulbBlk.png,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.40,6.08,5.76,1050pc: $4.99,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrclFrst100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/caps/18-415SpAnSpTslIvyGl.png,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,7.15,6.79,6.44,1050pc: $5.58,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrclFrst100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/caps/18-415SpAnSpTslIvyGl.png,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,7.15,6.79,6.44,1050pc: $5.58,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrclFrst100SpryCu,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pri",https://www.bestbottles.com/images/store/caps/18-415SpMattGl.png,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,3.55,3.37,3.20,1050pc: $2.77,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-copper-spray-and-cap
GBCrclFrst100SpryCu,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pri",https://www.bestbottles.com/images/store/caps/18-415SpMattGl.png,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,3.55,3.37,3.20,1050pc: $2.77,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-copper-spray-and-cap?video=true
GBCrcl100AnSpBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/caps/18-415SpAnSpBulbBlk.png,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,5.90,5.61,5.31,1050pc: $4.60,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/caps/18-415SpAnSpBulbBlk.png,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,5.90,5.61,5.31,1050pc: $4.60,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrcl100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/caps/18-415SpAnSpTslBlk.png,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.65,6.32,5.99,1050pc: $5.19,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/caps/18-415SpAnSpTslBlk.png,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.65,6.32,5.99,1050pc: $5.19,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrcl100SpryCu,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a family of bottles available in 15ml, 30ml, 50ml and 100ml size. Matt",https://www.bestbottles.com/images/store/caps/18-415SpMattGl.png,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,3.05,2.90,2.75,1050pc: $2.38,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-copper-spray-and-cap
